,question,answer,chunk,directly_answered_by_gpt4,answered_by_gpt4_with_context
140,What features does the Delta Sharing server support that are not supported in other protocols?,"The Delta Sharing server, built into Databricks, supports some features that are not supported in other protocols. These features include notebook sharing, Unity Catalog volume sharing, Unity Catalog data governance, auditing, and usage tracking for both providers and recipients. The integration with Unity Catalog simplifies setup and governance for both providers and recipients and improves performance.","uses the Delta Sharing server that is built into Databricks. It supports some Delta Sharing features that are not suppported in the other protocols, including notebook sharing, Unity Catalog volume sharing, Unity Catalog data governance, auditing, and usage tracking for both providers and recipients. The integration with Unity Catalog simplifies setup and governance for both providers and recipients and improves performance. See Share data using the Delta Sharing Databricks-to-Databricks protocol (for providers). The Databricks open sharing protocol, which lets you share tabular data that you manage in a Unity Catalog-enabled Databricks workspace with users on any computing platform. This approach uses the Delta Sharing server that is built into Databricks and is useful when you manage data using Unity Catalog and want to share it with users who don’t use Databricks or don’t have access to a Unity Catalog-enabled Databricks workspace. The integration with Unity Catalog on the provider side simplifies setup and governance for providers. See Share data using the Delta Sharing open sharing protocol (for providers). A customer-managed implementation of the open-source Delta Sharing server, which lets you share from any platform to any platform, whether Databricks or not. The Databricks documentation does not cover instructions for setting up your own Delta Sharing server. See github.com/delta-io/delta-sharing. Shares, providers, and recipients The primary concepts underlying","1. Open Protocol: Delta Sharing is the first open protocol designed for secure data sharing in a vendor-neutral manner. This allows it to be compatible with various data sources and data formats. 

2. Real-time Sharing: Delta Sharing allows for real-time data sharing. This means that any changes made to the data source can be immediately seen by all the parties that have access to the data. 

3. Fine-Grained Access Control: This feature allows the data provider to specify access to individual tables and views, or even subsets of the data. 

4. Versioning: Delta Sharing supports versioning of data, allowing users to access and analyze historical data.

5. Scalability: The protocol is designed to scale for sharing large datasets (in the order of petabytes) across thousands of users.

6. Integration: Delta sharing integrates well with popular data science and machine learning platforms, like Databricks, Presto, Redash, Apache Flink, etc.

7. Security: All data shared through Delta Sharing is encrypted in transit and at rest, ensuring the safety of the data.

8. Efficiency: Delta Sharing only transmits the necessary data, reducing data transfer costs and improving efficiency. 

9. Support for Batch and Streaming Workloads: Delta Sharing supports both batch and streaming workloads, making it suitable for a wide range of use cases. 

10. Governance: Delta Sharing supports governance features, allowing organizations to track and manage how data is being used and accessed.","The Delta Sharing server supports several features that are not supported in other protocols. These include notebook sharing, Unity Catalog volume sharing, Unity Catalog data governance, auditing, and usage tracking for both providers and recipients. Additionally, the integration with Unity Catalog simplifies setup and governance for both providers and recipients and improves performance."
150,What is a share in Delta Sharing?,"In Delta Sharing, a share is a read-only collection of tables and table partitions that a provider wants to share with one or more recipients. If the recipient uses a Unity Catalog-enabled Databricks workspace, notebook files, views, and Unity Catalog volumes can also be included in a share. Tables, views, volumes, and notebook files can be added or removed from a share at any time, and data recipient access can be assigned or revoked at any time. In a Unity Catalog-enabled Databricks workspace, a share is a securable object registered in Unity Catalog. If a share is removed from the Unity Catalog metastore, all recipients of that share lose the ability to access it.","documentation does not cover instructions for setting up your own Delta Sharing server. See github.com/delta-io/delta-sharing. Shares, providers, and recipients The primary concepts underlying Delta Sharing in Databricks are shares, providers, and recipients. What is a share? In Delta Sharing, a share is a read-only collection of tables and table partitions that a provider wants to share with one or more recipients. If your recipient uses a Unity Catalog-enabled Databricks workspace, you can also include notebook files, views (including dynamic views that restrict access at the row and column level), and Unity Catalog volumes in a share. You can add or remove tables, views, volumes, and notebook files from a share at any time, and you can assign or revoke data recipient access to a share at any time. In a Unity Catalog-enabled Databricks workspace, a share is a securable object registered in Unity Catalog. If you remove a share from your Unity Catalog metastore, all recipients of that share lose the ability to access it. See Create and manage shares for Delta Sharing. What is a provider? A provider is an entity that shares data with a recipient. If you are a provider and you want to take advantage of the built-in Databricks Delta Sharing server and manage shares and recipients using Unity Catalog, you need at least one Databricks workspace that is enabled for Unity Catalog. You do not need to migrate all of your existing workspaces to Unity Catalog. You can simply create a","In Delta Sharing, a share is a top-level container used to organize datasets. It contains one or more databases that in turn contain tables. The share is the unit of access control, meaning permissions are granted at the share level.","In Delta Sharing, a share is a read-only collection of tables and table partitions that a provider wants to share with one or more recipients. It can also include notebook files, views, and Unity Catalog volumes if your recipient uses a Unity Catalog-enabled Databricks workspace. You have the flexibility to add or remove tables, views, volumes, and notebook files from a share at any time, as well as assign or revoke data recipient access to a share at any time. In a Unity Catalog-enabled Databricks workspace, a share is a securable object registered in Unity Catalog. If a share is removed from the Unity Catalog metastore, all recipients of that share lose their ability to access it."
160,What is a recipient in Unity Catalog?,"A recipient in Unity Catalog is an entity that receives shares from a provider. In Unity Catalog, a share is a securable object that represents an organization and associates it with a credential or secure sharing identifier that allows that organization to access one or more shares. Recipients can have access to multiple shares, and if a provider deletes a recipient from their Unity Catalog metastore, that recipient loses access to all shares it could previously access. This information is important for understanding the sharing and access control mechanisms in Unity Catalog.","using Unity Catalog, you need at least one Databricks workspace that is enabled for Unity Catalog. You do not need to migrate all of your existing workspaces to Unity Catalog. You can simply create a new Unity Catalog-enabled workspace for your Delta Sharing needs. If a recipient is on a Unity Catalog-enabled Databricks workspace, the provider is also a Unity Catalog securable object that represents the provider organization and associates that organization with a set of shares. What is a recipient? A recipient is an entity that receives shares from a provider. In Unity Catalog, a share is a securable object that represents an organization and associates it with a credential or secure sharing identifier that allows that organization to access one or more shares. As a data provider (sharer), you can define multiple recipients for any given Unity Catalog metastore, but if you want to share data from multiple metastores with a particular user or group of users, you must define the recipient separately for each metastore. A recipient can have access to multiple shares. If a provider deletes a recipient from their Unity Catalog metastore, that recipient loses access to all shares it could previously access. See Create and manage data recipients for Delta Sharing. Open sharing versus Databricks-to-Databricks sharing This section describes the two protocols for sharing from a Databricks workspace that is enabled for Unity Catalog. Note This section assumes that the provider is on a","In Unity Catalog, a recipient typically refers to the end-user or entity that will receive or use the particular asset or package. It could be a developer, a team, or an application that uses the assets from the Unity Catalog.","In Unity Catalog, a recipient is an entity that receives shares from a provider. A share is a securable object that represents an organization and associates it with a credential or secure sharing identifier that allows that organization to access one or more shares. A recipient can have access to multiple shares and can be defined separately for each metastore if you want to share data from multiple metastores with a particular user or group of users. If a provider deletes a recipient from their Unity Catalog metastore, that recipient loses access to all shares it could previously access."
170,What is open Delta Sharing?,"Open Delta Sharing allows data providers to share data with users outside of their Databricks workspace, regardless of whether they use Databricks. Data providers generate a token and securely share it with the recipient, who uses the token to authenticate and gain read access to the tables included in the shares. Recipients can access the shared data using various computing tools and platforms, including Databricks, Apache Spark, Pandas, and Power BI. Open Delta Sharing provides a secure way to share data with external users and enables cross-platform data access.","Databricks-to-Databricks sharing This section describes the two protocols for sharing from a Databricks workspace that is enabled for Unity Catalog. Note This section assumes that the provider is on a Unity Catalog-enabled Databricks workspace. To learn about setting up an open-source Delta Sharing server to share from a non-Databricks platform or non-Unity Catalog workspace, see github.com/delta-io/delta-sharing. The way a provider uses Delta Sharing in Databricks depends on who they are sharing data with: Open sharing lets you share data with any user, whether or not they have access to Databricks. Databricks-to-Databricks sharing lets you share data with Databricks users whose workspace is attached to a Unity Catalog metastore that is different from yours. Databricks-to-Databricks also supports notebook and volume sharing, which is not available in open sharing. What is open Delta Sharing? If you want to share data with users outside of your Databricks workspace, regardless of whether they use Databricks, you can use open Delta Sharing to share your data securely. As a data provider, you generate a token and share it securely with the recipient. They use the token to authenticate and get read access to the tables you’ve included in the shares you’ve given them access to. Recipients can access the shared data using many computing tools and platforms, including: Databricks Apache Spark Pandas Power BI For a full list of Delta Sharing connectors and information about how to","Open Delta Sharing is an open-source protocol for sharing data across different organizations and platforms. It allows secure and real-time exchange of large datasets, and supports multiple data types including big data, machine learning, and AI. It also provides features like data versioning, transaction logs, and audit logs, providing a high level of data governance and management. Open Delta Sharing was developed by Databricks, and it's designed to work with existing data storage systems without requiring changes to those systems.","Open Delta Sharing is a method of data sharing where you can share data with users outside of your Databricks workspace, regardless of whether they use Databricks. As a data provider, you generate a token and share it securely with the recipient. The recipient then uses this token to authenticate and gain read access to the tables you've included in the shares you've given them access to. This allows recipients to access the shared data using various computing tools and platforms which include Databricks, Apache Spark, Pandas, Power BI, among others."
180,What is Databricks-to-Databricks Delta Sharing?,"Databricks-to-Databricks Delta Sharing allows users to share data with users in other Databricks accounts, whether they're on AWS, Azure, or GCP. It's a great way to securely share data across different Unity Catalog metastores in your own Databricks account. One advantage of Databricks-to-Databricks sharing is that the share recipient doesn't need a token to access the share, and the provider doesn't need to manage recipient tokens. The security of the sharing connection, including all identity verification, authentication, and auditing, is managed entirely through Delta Sharing and the Databricks platform. Additionally, it enables the sharing of Databricks notebook files, views, and Unity Catalog volumes.","can access the shared data using many computing tools and platforms, including: Databricks Apache Spark Pandas Power BI For a full list of Delta Sharing connectors and information about how to use them, see the Delta Sharing documentation. See also Share data using the Delta Sharing open sharing protocol (for providers). What is Databricks-to-Databricks Delta Sharing? If you want to share data with users who have a Databricks workspace that is enabled for Unity Catalog, you can use Databricks-to-Databricks Delta Sharing. Databricks-to-Databricks sharing lets you share data with users in other Databricks accounts, whether they’re on AWS, Azure, or GCP. It’s also a great way to securely share data across different Unity Catalog metastores in your own Databricks account. Note that there is no need to use Delta Sharing to share data between workspaces attached to the same Unity Catalog metastore, because in that scenario you can use Unity Catalog itself to manage access to data across workspaces. One advantage of Databricks-to-Databricks sharing is that the share recipient doesn’t need a token to access the share, and the provider doesn’t need to manage recipient tokens. The security of the sharing connection—including all identity verification, authentication, and auditing—is managed entirely through Delta Sharing and the Databricks platform. Another advantage is the ability to share Databricks notebook files, views, and Unity Catalog volumes. See also Share data using the Delta","Databricks-to-Databricks Delta Sharing is a feature that allows for secure sharing of data across different Databricks workspaces. It uses Delta Sharing, an open protocol for secure data sharing, to provide simple, high-performance, and secure data sharing solutions. This eliminates the need for data duplication and allows for real-time updates, thus improving efficiency and collaboration.","Databricks-to-Databricks Delta Sharing is a feature that allows you to share data with users who have a Databricks workspace that is enabled for Unity Catalog. This feature enables you to share data with users in other Databricks accounts, whether they’re on AWS, Azure, or GCP. It's also used for securely sharing data across different Unity Catalog metastores in your own Databricks account. One key advantage is that the share recipient doesn’t need a token to access the share, and the provider doesn’t need to manage recipient tokens. The security of the sharing connection, including identity verification, authentication, and auditing, is managed entirely through Delta Sharing and the Databricks platform. It also offers the ability to share Databricks notebook files, views, and Unity Catalog volumes."
200,What types of assets can be included in a Delta Sharing share?,"The types of assets that can be included in a Delta Sharing share are tables in the Delta or Parquet format, views, Unity Catalog volumes, and notebook files. When sharing with a non-Databricks recipient (open sharing), tables in the Delta or Parquet format can be included. For Databricks-to-Databricks sharing, views, Unity Catalog volumes, and notebook files can also be added to a share. Additionally, a set of token-based credentials is generated for non-Databricks recipients, while no token-based credentials are required for recipients with access to a Databricks workspace enabled for Unity Catalog.","assets registered in the Unity Catalog metastore. If you are sharing with a non-Databricks recipient (known as open sharing) you can include tables in the Delta or Parquet format. If you plan to use Databricks-to-Databricks sharing, you can also add views, Unity Catalog volumes, and notebook files to a share. See Create and manage shares for Delta Sharing. Create a recipient. See Create and manage data recipients for Delta Sharing. If your recipient is not a Databricks user, or does not have access to a Databricks workspace that is enabled for Unity Catalog, you must use open sharing. A set of token-based credentials is generated for that recipient. If your recipient has access to a Databricks workspace that is enabled for Unity Catalog, you can use Databricks-to-Databricks sharing, and no token-based credentials are required. You request a sharing identifier from the recipient and use it to establish the secure connection. Tip Use yourself as a test recipient to try out the setup process. Grant the recipient access to one or more shares. See Grant and manage access to Delta Sharing data shares (for providers). Note This step can also be performed by a non-admin user with the USE SHARE, USE RECIPIENT and SET SHARE PERMISSION privileges. See Unity Catalog privileges and securable objects. Send the recipient the information they need to connect to the share (open sharing only). See Send the recipient their connection information. For open sharing, use a secure channel to send","Delta Sharing allows you to share the following types of assets:

1. Data Tables: You can share structured data organized in rows and columns, similar to a spreadsheet or a relational database.

2. Data Files: This includes raw data files in various formats such as CSV, JSON, Parquet, ORC, and others.

3. Delta Lake Tables: Delta Lake is an open-source storage layer that brings reliability to data lakes. Delta Lake tables can be shared using Delta Sharing.

4. Datasets: This can include large and complex data sets, such as those used for machine learning or statistical analysis.

5. Views: A view is a virtual table based on the result-set of an SQL statement. You can create and share views on your data.

6. Notebooks: In the context of data analysis, a notebook is a user-friendly interface that allows you to write and execute code, and view the results. Some platforms allow sharing of these notebooks.

Please note that the types of assets you can share might depend on the specific capabilities of the platform you are using.","In a Delta Sharing share, you can include tables in the Delta or Parquet format. If you plan to use Databricks-to-Databricks sharing, you can also add views, Unity Catalog volumes, and notebook files to a share."
590,What is the recommended method for incremental data ingestion in Databricks?,"Databricks recommends using Auto Loader for incremental data ingestion. Auto Loader automatically detects and processes new files as they arrive in cloud object storage. Users or service principals with READ FILES permissions on an external location can use Auto Loader to ingest data. Normally, data will arrive in an external location due to writes from other systems.","Make sure the default language is set to Python. Use the Connect dropdown menu to select the cluster you created in step 1 from the Cluster dropdown. The notebook opens with one empty cell. To learn more about creating and managing notebooks, see Manage notebooks. Step 3: Write and read data from an external location managed by Unity Catalog Databricks recommends using Auto Loader for incremental data ingestion. Auto Loader automatically detects and processes new files as they arrive in cloud object storage. Use Unity Catalog to manage secure access to external locations. Users or service principals with READ FILES permissions on an external location can use Auto Loader to ingest data. Normally, data will arrive in an external location due to writes from other systems. In this demo, you can simulate data arrival by writing out JSON files to an external location. Copy the code below into a notebook cell. Replace the string value for catalog with the name of a catalog with CREATE CATALOG and USE CATALOG permissions. Replace the string value for external_location with the path for an external location with READ FILES, WRITE FILES, and CREATE EXTERNAL TABLE permissions. External locations can be defined as an entire storage container, but often point to a directory nested in a container. The correct format for an external location path is ""s3://bucket-name/path/to/external_location"". external_location = ""<your-external-location>"" catalog = ""<your-catalog>""","The recommended method for incremental data ingestion in Databricks is by using Delta Lake. Delta Lake is an open-source storage layer that provides ACID transactions in Apache Spark and big data workloads. 

Delta Lake allows you to ingest data incrementally by using features such as upserts and merges. It allows you to keep all the historical data, enabling you to perform time travel and audit on the data.

You can perform incremental data ingestion in Delta Lake by using the MERGE INTO statement. This statement can be used to incrementally update and insert data into your Delta Lake tables.

The process generally involves these steps:

1. Load the new data into a DataFrame.
2. Use the DataFrame API or SQL commands to merge the new data into the Delta Lake table.
3. Databricks will handle the rest, ensuring that the data is updated incrementally and that the table is kept in a consistent state.

This method provides a scalable and reliable solution for incremental data ingestion.",The recommended method for incremental data ingestion in Databricks is using Auto Loader. Auto Loader automatically detects and processes new files as they arrive in cloud object storage.
630,How can you schedule a notebook as a task in Databricks?,"To schedule a notebook as a task in Databricks, you can create a new job and trigger it manually. First, click Schedule on the right side of the header bar, then enter a unique name for the Job name and click Manual. Next, select the cluster you created in step 1 from the Cluster drop-down and click Create. After that, in the window that appears, click Run now to trigger the job. To view the job run results, click the icon next to the Last run timestamp. For more information on jobs, you can refer to the Databricks Jobs documentation.","production scripts by adding them as a task in a Databricks job. In this step, you will create a new job that you can trigger manually. To schedule your notebook as a task: Click Schedule on the right side of the header bar. Enter a unique name for the Job name. Click Manual. In the Cluster drop-down, select the cluster you created in step 1. Click Create. In the window that appears, click Run now. To see the job run results, click the icon next to the Last run timestamp. For more information on jobs, see What is Databricks Jobs?. Step 7: Query table from Databricks SQL Anyone with the USE CATALOG permission on the current catalog, the USE SCHEMA permission on the current schema, and SELECT permissions on the table can query the contents of the table from their preferred Databricks API. You need access to a running SQL warehouse to execute queries in Databricks SQL. The table you created earlier in this tutorial has the name target_table. You can query it using the catalog you provided in the first cell and the database with the patern e2e_lakehouse_<your-username>. You can use Catalog Explorer to find the data objects that you created. Additional Integrations Learn more about integrations and tools for data engineering with Databricks: Connect your favorite IDE Use dbt with Databricks Learn about the Databricks Command Line Interface (CLI) Learn about the Databricks Terraform Provider © Databricks 2023. All rights reserved. Apache, Apache Spark, Spark, and the Spark logo are","You can schedule a notebook as a job in Databricks by following these steps:

1. Open the notebook that you want to schedule.

2. In the upper right corner of the workspace, click on the ""Jobs"" tab.

3. Click on ""Create Job"".

4. In the ""Tasks"" section, select ""Notebook"" option.

5. Click on ""Set Notebook"", and select the notebook that you want to schedule.

6. In the ""Schedules"" section, click on ""Edit"" to set up your desired schedule.

7. Fill in the information for the schedule, such as the frequency, the start time, the end time, and the timezone.

8. Click on ""Confirm"" to set the schedule.

9. In the ""Alerts"" section, you can configure to send email alerts based on the job's status changes.

10. Click on ""Create"" to create the job.

Once the job is created, Databricks will run the notebook according to the schedule you set up. It's worth noting that jobs in Databricks can be used for various tasks, such as automating your data pipelines, running complex ETL processes, and training machine learning models.","To schedule your notebook as a task in Databricks, follow these steps:

1. Click on 'Schedule' which is located on the right side of the header bar.
2. Then, enter a unique name for the Job name.
3. Click on 'Manual'.
4. In the 'Cluster' drop-down menu, select the cluster that you created in the first step.
5. Click on 'Create'.
6. In the window that appears next, click on 'Run now'.

After these steps, your notebook is scheduled as a task. You can check the job run results by clicking the icon next to the 'Last run timestamp'."
690,What are the considerations when choosing between Auto Loader and COPY INTO for data ingestion in Databricks?,"When choosing between Auto Loader and COPY INTO for data ingestion in Databricks, there are a few considerations to keep in mind. If you're going to ingest files in the order of thousands, you can use COPY INTO. However, if you are expecting files in the order of millions or more over time, it's recommended to use Auto Loader. Auto Loader requires fewer total operations to discover files compared to COPY INTO and can split the processing into multiple batches, making it less expensive and more efficient at scale. These considerations help in determining the most suitable method for data ingestion based on the volume and nature of the data being processed.","Run your first ETL workload on Databricks Load data using streaming tables (Python/SQL notebook) Load data using streaming tables in Databricks SQL Upload local data files or connect external data sources You can securely upload local data files or ingest data from external sources to create tables. See Load data using the add data UI. Load data into Databricks using third-party tools Databricks validates technology partner integrations that enable you to load data into Databricks. These integrations enable low-code, scalable data ingestion from a variety of sources into Databricks. See Technology partners. Some technology partners are featured in Databricks Partner Connect, which provides a UI that simplifies connecting third-party tools to your lakehouse data. COPY INTO COPY INTO allows SQL users to idempotently and incrementally load data from cloud object storage into Delta tables. It can be used in Databricks SQL, notebooks, and Databricks Jobs. When to use COPY INTO and when to use Auto Loader Here are a few things to consider when choosing between Auto Loader and COPY INTO: If you’re going to ingest files in the order of thousands, you can use COPY INTO. If you are expecting files in the order of millions or more over time, use Auto Loader. Auto Loader requires fewer total operations to discover files compared to COPY INTO and can split the processing into multiple batches, meaning that Auto Loader is less expensive and more efficient at scale. If your data schema is","1. **Data Volume and Frequency**: For large volumes of data or continuous streaming of data, Auto Loader is a better option as it incrementally and efficiently processes new data files as they arrive. COPY INTO is more suitable for one-time or infrequent data loads.

2. **Data Latency**: If you need low-latency data ingestion, Auto Loader is a better choice as it allows near real-time data ingestion.

3. **Complexity of Setup**: Auto Loader requires less complex setup and maintenance as compared to COPY INTO. It automatically manages file state and can handle schema evolution.

4. **Reliability**: Auto Loader provides exactly-once processing guarantees whereas COPY INTO does not.

5. **Source Data Location**: Auto Loader supports data ingestion from cloud storage like S3 or Azure Blob Storage. COPY INTO can ingest data from cloud storage, local file systems, or directly from external databases.

6. **Cost**: Auto Loader may result in higher costs due to continuous monitoring of the source directory and the need for a running Databricks cluster. Copy Into can be more cost-effective for infrequent data loads.

7. **Data Format**: Auto Loader supports various data formats including CSV, JSON, Avro, and binary formats. COPY INTO generally supports CSV and Parquet formats.

8. **Schema Evolution**: Auto Loader supports schema evolution, i.e., it can handle changes in the schema of the ingested data over time. This is not supported by COPY INTO.

9. **Data Transformation**: Auto Loader is more suitable for scenarios where data needs to be transformed before ingestion. COPY INTO is more suitable for scenarios where data can be ingested as-is.

10. **Performance**: For smaller data sets, COPY INTO can be faster as Auto Loader has an initial delay for setting up file state tracking. For larger data sets or continuous data streams, Auto Loader can provide better performance due to incremental processing.","When choosing between Auto Loader and COPY INTO for data ingestion in Databricks, consider the following:

1. Volume of Data Files: If you're expecting to ingest files in the order of thousands, COPY INTO is the suitable choice. However, if you're anticipating files in the order of millions or more over time, Auto Loader is the more efficient option.

2. Efficiency and Cost: Auto Loader requires fewer total operations to discover files compared to COPY INTO and can split the processing into multiple batches. This means that Auto Loader is less expensive and more efficient at scale. 

3. Data Schema: If your data schema is complex or requires frequent updates, the choice between COPY INTO and Auto Loader may also be influenced. However, the given context does not provide specific details about how data schema affects the choice."
870,What kind of questions can Databricks Lakehouse Monitoring help you answer?,"Databricks Lakehouse Monitoring can help you answer questions related to data integrity, statistical distribution, drift detection, ML model inputs and predictions, model performance trending, and comparison of model versions. It can also help you identify the cause of changes in data distribution or model performance and set up custom metrics for time granularity of observations.","of your data. Monitoring your data provides quantitative measures that help you track and confirm the quality and consistency of your data over time. When you detect changes in your table’s data distribution or corresponding model’s performance, the tables created by Databricks Lakehouse Monitoring can capture and alert you to the change and can help you identify the cause. Databricks Lakehouse Monitoring helps you answer questions like the following: What does data integrity look like, and how does it change over time? For example, what is the fraction of null or zero values in the current data, and has it increased? What does the statistical distribution of the data look like, and how does it change over time? For example, what is the 90th percentile of a numerical column? Or, what is the distribution of values in a categorical column, and how does it differ from yesterday? Is there drift between the current data and a known baseline, or between successive time windows of the data? What does the statistical distribution or drift of a subset or slice of the data look like? How are ML model inputs and predictions shifting over time? How is model performance trending over time? Is model version A performing better than version B? In addition, Databricks Lakehouse Monitoring lets you control the time granularity of observations and set up custom metrics. Requirements The following are required to use Databricks Lakehouse Monitoring: Your workspace must be enabled for Unity","1. What is the performance of my data pipelines and where are the bottlenecks?
2. How can I improve the efficiency of my data workloads?
3. What is the status of my data jobs and are they running as expected?
4. How is the data distributed across my clusters?
5. Are there any failures or errors in my data processing tasks?
6. How much resources are being consumed by my data workloads and can I optimize it?
7. How can I track and monitor the health of my data lakehouse?
8. What is the data latency and can it be improved?
9. Are there any security or compliance issues with my data?
10. How can I better manage and monitor my data workflows? 
11. How much storage is being used by my data and how can it be optimized? 
12. Are there any unexpected spikes in the usage or performance of my data workloads?
13. How can I troubleshoot issues in my data pipelines faster? 
14. How is the quality of my data and can it be improved?
15. What is the impact of changes in my data infrastructure on the performance of my data workloads?","Databricks Lakehouse Monitoring can help you answer questions such as:

- What does data integrity look like, and how does it change over time?
- What is the fraction of null or zero values in the current data, and has it increased?
- What does the statistical distribution of the data look like, and how does it change over time?
- What is the 90th percentile of a numerical column? 
- What is the distribution of values in a categorical column, and how does it differ from yesterday?
- Is there drift between the current data and a known baseline, or between successive time windows of the data?
- What does the statistical distribution or drift of a subset or slice of the data look like? 
- How are ML model inputs and predictions shifting over time? 
- How is model performance trending over time? 
- Is model version A performing better than version B?

It also allows you to control the time granularity of observations and set up custom metrics."
